seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	155099083	155099358	276	*	X0134	1942	155100349	155107386	7038	+	990	upstream	990	EFNA1
chr1	155099083	155099358	276	*	X0135	1942	155100349	155107386	7038	+	990	upstream	990	EFNA1
chr1	155099083	155099358	276	*	X0136	1942	155100349	155107386	7038	+	990	upstream	990	EFNA1
chr1	155099083	155099358	276	*	X0137	1942	155100349	155107386	7038	+	990	upstream	990	EFNA1
chr1	155099083	155099590	508	*	X0138	1942	155100349	155107386	7038	+	758	upstream	758	EFNA1
chr1	155099083	155099635	553	*	X0139	1942	155100349	155107386	7038	+	713	upstream	713	EFNA1
chr1	155099083	155099635	553	*	X0140	1942	155100349	155107386	7038	+	713	upstream	713	EFNA1
chr1	155099083	155099358	276	*	X0141	1942	155100349	155107386	7038	+	990	upstream	990	EFNA1
chr1	155099083	155099590	508	*	X0142	1942	155100349	155107386	7038	+	758	upstream	758	EFNA1
chr1	155099083	155099765	683	*	X0143	1942	155100349	155107386	7038	+	583	upstream	583	EFNA1
chr1	155099083	155099902	820	*	X0144	1942	155100349	155107386	7038	+	446	upstream	446	EFNA1
chr1	155099344	155099358	15	*	X0145	1942	155100349	155107386	7038	+	990	upstream	990	EFNA1
chr1	155099344	155099358	15	*	X0146	1942	155100349	155107386	7038	+	990	upstream	990	EFNA1
chr1	155099344	155099358	15	*	X0147	1942	155100349	155107386	7038	+	990	upstream	990	EFNA1
chr1	155099344	155099358	15	*	X0148	1942	155100349	155107386	7038	+	990	upstream	990	EFNA1
chr1	155099344	155099358	15	*	X0149	1942	155100349	155107386	7038	+	990	upstream	990	EFNA1
chr1	155099344	155099590	247	*	X0150	1942	155100349	155107386	7038	+	758	upstream	758	EFNA1
chr1	155099344	155099635	292	*	X0151	1942	155100349	155107386	7038	+	713	upstream	713	EFNA1
chr1	155099344	155099635	292	*	X0152	1942	155100349	155107386	7038	+	713	upstream	713	EFNA1
chr1	155099344	155099358	15	*	X0153	1942	155100349	155107386	7038	+	990	upstream	990	EFNA1
chr1	155099344	155099590	247	*	X0154	1942	155100349	155107386	7038	+	758	upstream	758	EFNA1
chr1	155099344	155099765	422	*	X0155	1942	155100349	155107386	7038	+	583	upstream	583	EFNA1
chr1	155099344	155099902	559	*	X0156	1942	155100349	155107386	7038	+	446	upstream	446	EFNA1
chr1	182573259	182573606	348	*	X0199	6004	182567758	182573548	5791	-	0	overlapStart	0	RGS16
chr1	182573259	182573606	348	*	X0200	6004	182567758	182573548	5791	-	0	overlapStart	0	RGS16
chr1	197871794	197872703	910	*	X0201	388722	197871682	197876497	4816	+	0	inside	111	C1orf53
chr1	197871836	197872797	962	*	X0202	388722	197871682	197876497	4816	+	0	inside	153	C1orf53
chr1	201475887	201476472	586	*	X0204	1465	201452658	201476387	23730	-	0	overlapStart	0	CSRP1
chr1	201476008	201476480	473	*	X0205	1465	201452658	201476387	23730	-	0	overlapStart	0	CSRP1
chr1	203097049	203097191	143	*	X0206	134	203096836	203136533	39698	+	0	inside	212	ADORA1
chr1	203097125	203098061	937	*	X0207	134	203096836	203136533	39698	+	0	inside	288	ADORA1
chr1	209847969	209848584	616	*	X0212	50486	209848670	209849735	1066	+	85	upstream	85	G0S2
chr1	209847969	209848787	819	*	X0213	50486	209848670	209849735	1066	+	0	overlapStart	0	G0S2
chr1	209848002	209848978	977	*	X0214	50486	209848670	209849735	1066	+	0	overlapStart	0	G0S2
chr1	209848923	209848978	56	*	X0215	50486	209848670	209849735	1066	+	0	inside	252	G0S2
chr1	210407140	210408153	1014	*	X0216	574036	210404804	210407466	2663	-	0	overlapStart	0	SERTAD4-AS1
chr1	214454504	214454702	199	*	X0217	56950	214454565	214510477	55913	+	0	overlapStart	0	SMYD2
chr2	11272728	11273669	942	*	X0227	130813	11273179	11286916	13738	+	0	overlapStart	0	C2orf50
chr2	11272728	11273669	942	*	X0227	285150	11239977	11272347	32371	-	380	upstream	380	FLJ33534
chr2	11272728	11273669	942	*	X0228	130813	11273179	11286916	13738	+	0	overlapStart	0	C2orf50
chr2	11272728	11273669	942	*	X0228	285150	11239977	11272347	32371	-	380	upstream	380	FLJ33534
chr2	11272935	11273685	751	*	X0229	130813	11273179	11286916	13738	+	0	overlapStart	0	C2orf50
chr2	11272935	11273685	751	*	X0229	285150	11239977	11272347	32371	-	587	upstream	587	FLJ33534
chr2	11272935	11273776	842	*	X0230	130813	11273179	11286916	13738	+	0	overlapStart	0	C2orf50
chr2	11272935	11273776	842	*	X0230	285150	11239977	11272347	32371	-	587	upstream	587	FLJ33534
chr2	54950712	54951569	858	*	X0231	400954	54952149	55199156	247008	+	579	upstream	579	EML6
chr2	54951418	54951714	297	*	X0232	400954	54952149	55199156	247008	+	434	upstream	434	EML6
chr2	208890261	208891016	756	*	X0241	389072	208686012	208890284	204273	-	0	overlapStart	0	PLEKHM3
chr2	242448040	242448836	797	*	X0260	10494	242434122	242448987	14866	-	0	inside	150	STK25
chr2	242448040	242448836	797	*	X0261	10494	242434122	242448987	14866	-	0	inside	150	STK25
chr2	242448040	242448836	797	*	X0262	10494	242434122	242448987	14866	-	0	inside	150	STK25
chr2	242448040	242448836	797	*	X0263	10494	242434122	242448987	14866	-	0	inside	150	STK25
chr2	242448040	242448890	851	*	X0264	10494	242434122	242448987	14866	-	0	inside	96	STK25
chr2	242448040	242448890	851	*	X0265	10494	242434122	242448987	14866	-	0	inside	96	STK25
chr2	242448040	242448836	797	*	X0266	10494	242434122	242448987	14866	-	0	inside	150	STK25
chr2	242448040	242448890	851	*	X0267	10494	242434122	242448987	14866	-	0	inside	96	STK25
chr2	242448040	242448943	904	*	X0268	10494	242434122	242448987	14866	-	0	inside	43	STK25
chr3	51704665	51705556	892	*	X0283	51368	51705191	51738339	33149	+	0	overlapStart	0	TEX264
chr3	51705360	51705556	197	*	X0284	51368	51705191	51738339	33149	+	0	inside	168	TEX264
chr3	52008880	52009641	762	*	X0285	100526760	52009042	52023218	14177	+	0	overlapStart	0	ABHD14A-ACY1
chr3	52008880	52009641	762	*	X0285	25864	52009042	52015216	6175	+	0	overlapStart	0	ABHD14A
chr3	52008880	52009860	981	*	X0286	100526760	52009042	52023218	14177	+	0	overlapStart	0	ABHD14A-ACY1
chr3	52008880	52009860	981	*	X0286	25864	52009042	52015216	6175	+	0	overlapStart	0	ABHD14A
chr3	52008880	52009641	762	*	X0287	100526760	52009042	52023218	14177	+	0	overlapStart	0	ABHD14A-ACY1
chr3	52008880	52009641	762	*	X0287	25864	52009042	52015216	6175	+	0	overlapStart	0	ABHD14A
chr3	52008880	52009878	999	*	X0288	100526760	52009042	52023218	14177	+	0	overlapStart	0	ABHD14A-ACY1
chr3	52008880	52009878	999	*	X0288	25864	52009042	52015216	6175	+	0	overlapStart	0	ABHD14A
chr3	52009039	52009641	603	*	X0289	100526760	52009042	52023218	14177	+	0	overlapStart	0	ABHD14A-ACY1
chr3	52009039	52009641	603	*	X0289	25864	52009042	52015216	6175	+	0	overlapStart	0	ABHD14A
chr3	52009039	52009916	878	*	X0290	100526760	52009042	52023218	14177	+	0	overlapStart	0	ABHD14A-ACY1
chr3	52009039	52009916	878	*	X0290	25864	52009042	52015216	6175	+	0	overlapStart	0	ABHD14A
chr3	52009077	52009641	565	*	X0291	100526760	52009042	52023218	14177	+	0	inside	34	ABHD14A-ACY1
chr3	52009077	52009641	565	*	X0291	25864	52009042	52015216	6175	+	0	inside	34	ABHD14A
chr3	52009077	52009916	840	*	X0292	100526760	52009042	52023218	14177	+	0	inside	34	ABHD14A-ACY1
chr3	52009077	52009916	840	*	X0292	25864	52009042	52015216	6175	+	0	inside	34	ABHD14A
chr3	52009101	52009641	541	*	X0293	100526760	52009042	52023218	14177	+	0	inside	58	ABHD14A-ACY1
chr3	52009101	52009641	541	*	X0293	25864	52009042	52015216	6175	+	0	inside	58	ABHD14A
chr3	52009101	52009916	816	*	X0294	100526760	52009042	52023218	14177	+	0	inside	58	ABHD14A-ACY1
chr3	52009101	52009916	816	*	X0294	25864	52009042	52015216	6175	+	0	inside	58	ABHD14A
chr3	52009263	52009641	379	*	X0295	100526760	52009042	52023218	14177	+	0	inside	220	ABHD14A-ACY1
chr3	52009263	52009641	379	*	X0295	25864	52009042	52015216	6175	+	0	inside	220	ABHD14A
chr3	52009263	52009916	654	*	X0296	100526760	52009042	52023218	14177	+	0	inside	220	ABHD14A-ACY1
chr3	52009263	52009916	654	*	X0296	25864	52009042	52015216	6175	+	0	inside	220	ABHD14A
chr3	52009316	52009641	326	*	X0297	100526760	52009042	52023218	14177	+	0	inside	273	ABHD14A-ACY1
chr3	52009316	52009641	326	*	X0297	25864	52009042	52015216	6175	+	0	inside	273	ABHD14A
chr3	52009316	52009916	601	*	X0298	100526760	52009042	52023218	14177	+	0	inside	273	ABHD14A-ACY1
chr3	52009316	52009916	601	*	X0298	25864	52009042	52015216	6175	+	0	inside	273	ABHD14A
chr3	72496139	72496937	799	*	X0326	23429	72423744	72495774	72031	-	364	upstream	364	RYBP
chr3	72496283	72496937	655	*	X0327	23429	72423744	72495774	72031	-	508	upstream	508	RYBP
chr3	72496139	72496955	817	*	X0328	23429	72423744	72495774	72031	-	364	upstream	364	RYBP
chr3	72496283	72496955	673	*	X0329	23429	72423744	72495774	72031	-	508	upstream	508	RYBP
chr3	72496139	72496970	832	*	X0330	23429	72423744	72495774	72031	-	364	upstream	364	RYBP
chr3	72496283	72496970	688	*	X0331	23429	72423744	72495774	72031	-	508	upstream	508	RYBP
chr3	112360050	112360364	315	*	X0332	151887	112323409	112359977	36569	-	72	upstream	72	CCDC80
chr3	112360050	112360660	611	*	X0333	151887	112323409	112359977	36569	-	72	upstream	72	CCDC80
chr3	112360061	112360364	304	*	X0334	151887	112323409	112359977	36569	-	83	upstream	83	CCDC80
chr3	112360061	112360660	600	*	X0335	151887	112323409	112359977	36569	-	83	upstream	83	CCDC80
chr3	134093303	134094280	978	*	X0336	51421	134074190	134094259	20070	-	0	overlapStart	0	AMOTL2
chr3	197476237	197477163	927	*	X0353	84248	197476424	197511317	34894	+	0	overlapStart	0	FYTTD1
chr3	197476237	197477163	927	*	X0353	9711	197398259	197476568	78310	-	0	overlapStart	0	RUBCN
chr3	197476267	197477163	897	*	X0354	84248	197476424	197511317	34894	+	0	overlapStart	0	FYTTD1
chr3	197476267	197477163	897	*	X0354	9711	197398259	197476568	78310	-	0	overlapStart	0	RUBCN
chr4	84406268	84406528	261	*	X0357	84142	84382094	84406290	24197	-	0	overlapStart	0	ABRAXAS1
chr4	84406438	84406528	91	*	X0358	84142	84382094	84406290	24197	-	147	upstream	147	ABRAXAS1
chr5	40679971	40680045	75	*	X0361	5734	40680032	40693837	13806	+	0	overlapStart	0	PTGER4
chr5	40679971	40680742	772	*	X0362	5734	40680032	40693837	13806	+	0	overlapStart	0	PTGER4
chr5	137911159	137912090	932	*	X0367	3313	137890571	137911318	20748	-	0	overlapStart	0	HSPA9
chr5	138677608	138677612	5	*	X0368	51247	138677519	138705409	27891	+	0	inside	88	PAIP2
chr5	148651508	148652504	997	*	X0372	134265	148651401	148721367	69967	+	0	inside	106	AFAP1L1
chr5	148651597	148652504	908	*	X0373	134265	148651401	148721367	69967	+	0	inside	195	AFAP1L1
chr5	148651597	148652504	908	*	X0374	134265	148651401	148721367	69967	+	0	inside	195	AFAP1L1
chr5	148651597	148652519	923	*	X0375	134265	148651401	148721367	69967	+	0	inside	195	AFAP1L1
chr5	176872921	176873928	1008	*	X0379	80758	176873796	176883287	9492	+	0	overlapStart	0	PRR7
chr5	176872985	176873994	1010	*	X0380	80758	176873796	176883287	9492	+	0	overlapStart	0	PRR7
chr5	176873251	176874121	871	*	X0381	80758	176873796	176883287	9492	+	0	overlapStart	0	PRR7
chr5	176873294	176874121	828	*	X0382	80758	176873796	176883287	9492	+	0	overlapStart	0	PRR7
chr7	191259	192271	1013	*	X0419	56975	192969	300740	107772	+	697	upstream	697	FAM20C
chr7	191282	192291	1010	*	X0420	56975	192969	300740	107772	+	677	upstream	677	FAM20C
chr7	191308	192323	1016	*	X0421	56975	192969	300740	107772	+	645	upstream	645	FAM20C
chr7	191327	192337	1011	*	X0422	56975	192969	300740	107772	+	631	upstream	631	FAM20C
chr7	191339	192358	1020	*	X0423	56975	192969	300740	107772	+	610	upstream	610	FAM20C
chr7	12725679	12726599	921	*	X0441	10124	12726452	12730558	4107	+	0	overlapStart	0	ARL4A
chr7	12725729	12726599	871	*	X0442	10124	12726452	12730558	4107	+	0	overlapStart	0	ARL4A
chr7	12725729	12726599	871	*	X0443	10124	12726452	12730558	4107	+	0	overlapStart	0	ARL4A
chr7	12725729	12726689	961	*	X0444	10124	12726452	12730558	4107	+	0	overlapStart	0	ARL4A
chr7	21985335	21986250	916	*	X0445	55536	21940517	21985542	45026	-	0	overlapStart	0	CDCA7L
chr7	21985388	21986343	956	*	X0446	55536	21940517	21985542	45026	-	0	overlapStart	0	CDCA7L
chr7	21985383	21986250	868	*	X0447	55536	21940517	21985542	45026	-	0	overlapStart	0	CDCA7L
chr7	21985388	21986343	956	*	X0448	55536	21940517	21985542	45026	-	0	overlapStart	0	CDCA7L
chr7	96746156	96746197	42	*	X0451	57001	96745905	96811075	65171	+	0	inside	250	SDHAF3
chr7	105752574	105753545	972	*	X0452	6856	105730814	105753093	22280	-	0	overlapStart	0	SYPL1
chr7	105752574	105753555	982	*	X0453	6856	105730814	105753093	22280	-	0	overlapStart	0	SYPL1
chr7	128095345	128096197	853	*	X0464	29923	128095884	128098472	2589	+	0	overlapStart	0	HILPDA
chr7	128095363	128096197	835	*	X0465	29923	128095884	128098472	2589	+	0	overlapStart	0	HILPDA
chr7	138720379	138721291	913	*	X0466	92092	138710452	138720775	10324	-	0	overlapStart	0	ZC3HAV1L
chr7	138720510	138721291	782	*	X0467	92092	138710452	138720775	10324	-	0	overlapStart	0	ZC3HAV1L
chr7	150019518	150020526	1009	*	X0468	653857	149944301	150020758	76458	-	0	inside	231	ACTR3C
chr7	150019596	150020526	931	*	X0469	653857	149944301	150020758	76458	-	0	inside	231	ACTR3C
chr7	150019596	150020526	931	*	X0470	653857	149944301	150020758	76458	-	0	inside	231	ACTR3C
chr7	150019596	150020526	931	*	X0471	653857	149944301	150020758	76458	-	0	inside	231	ACTR3C
chr7	150973959	150974967	1009	*	X0484	6604	150936059	150974231	38173	-	0	overlapStart	0	SMARCD3
chr7	150974011	150975021	1011	*	X0485	6604	150936059	150974231	38173	-	0	overlapStart	0	SMARCD3
chr7	150974032	150975043	1012	*	X0486	6604	150936059	150974231	38173	-	0	overlapStart	0	SMARCD3
chr7	151572149	151572934	786	*	X0487	100505483	151574127	151576308	2182	+	1192	upstream	1192	PRKAG2-AS1
chr7	151572149	151572934	786	*	X0488	100505483	151574127	151576308	2182	+	1192	upstream	1192	PRKAG2-AS1
chr7	151572149	151572934	786	*	X0489	100505483	151574127	151576308	2182	+	1192	upstream	1192	PRKAG2-AS1
chr7	151572149	151573199	1051	*	X0490	100505483	151574127	151576308	2182	+	927	upstream	927	PRKAG2-AS1
chr7	151572981	151573199	219	*	X0491	100505483	151574127	151576308	2182	+	927	upstream	927	PRKAG2-AS1
chr7	151573098	151573217	120	*	X0492	100505483	151574127	151576308	2182	+	909	upstream	909	PRKAG2-AS1
chr7	151573098	151573272	175	*	X0493	100505483	151574127	151576308	2182	+	854	upstream	854	PRKAG2-AS1
chr8	22455055	22455510	456	*	X0501	541565	22457114	22461662	4549	+	1603	upstream	1603	C8orf58
chr8	22455588	22456399	812	*	X0502	541565	22457114	22461662	4549	+	714	upstream	714	C8orf58
chr8	37653707	37654277	571	*	X0567	25960	37654401	37701504	47104	+	123	upstream	123	ADGRA2
chr8	97274622	97275076	455	*	X0580	51001	97251645	97273796	22152	-	825	upstream	825	MTERF3
chr8	97274676	97275076	401	*	X0581	51001	97251645	97273796	22152	-	879	upstream	879	MTERF3
chr8	97274676	97275076	401	*	X0582	51001	97251645	97273796	22152	-	879	upstream	879	MTERF3
chr8	97274676	97275076	401	*	X0583	51001	97251645	97273796	22152	-	879	upstream	879	MTERF3
chr8	97275534	97275659	126	*	X0584	51001	97251645	97273796	22152	-	1737	upstream	1737	MTERF3
chr8	97275534	97275659	126	*	X0585	51001	97251645	97273796	22152	-	1737	upstream	1737	MTERF3
